id,y
1,78.60634
2,93.983696
3,78.64061
4,78.42584
5,110.43907
8,91.90324
10,110.07756
11,92.836815
12,113.8619
14,93.06694
15,113.85761
16,103.49715
17,93.738075
19,93.06822
20,102.420166
21,94.7014
22,113.997604
23,98.09113
26,95.71059
28,95.8897
29,98.09113
33,98.09113
35,95.41589
41,95.300125
42,93.82469
43,115.787674
45,103.43503
46,103.72025
51,93.975136
53,78.966774
55,112.60311
56,93.5939
57,103.87111
58,94.794655
59,103.08573
63,112.26331
64,94.645515
65,104.65244
69,94.57798
71,95.01382
72,103.31027
73,94.46872
76,103.12236
77,104.823746
78,115.68894
82,94.4835
83,104.65244
84,93.93025
85,103.57016
87,112.44064
88,95.300125
89,112.674
91,93.60568
93,94.789314
94,104.976006
95,93.81114
96,112.4541
97,93.29857
98,112.48269
99,93.64805
101,103.87061
103,112.674
104,93.65712
105,112.117485
110,95.058815
111,112.48553
113,112.512566
114,93.70398
115,112.126625
117,112.674
120,93.77272
121,112.4623
122,93.47589
123,112.614174
126,112.30368
132,112.48252
135,104.68703
137,104.22212
138,94.487236
140,93.5939
142,111.85161
144,112.47539
148,93.11585
149,112.45534
155,93.21146
156,112.47147
157,93.29857
162,112.456406
163,94.86474
167,94.15976
172,115.787674
179,112.57095
180,93.587875
181,112.262886
182,94.7669
183,112.674
185,112.674
187,112.46177
188,94.46872
189,93.827736
191,93.620415
192,112.50876
193,94.16488
194,112.35162
195,93.73468
196,112.525925
198,94.86352
199,112.47539
201,104.490234
204,94.32257
205,106.02691
206,93.75055
210,93.94933
211,103.87061
216,112.46579
219,115.85544
220,93.863495
221,112.10503
226,112.262886
227,93.844475
228,112.471794
230,112.43903
231,93.29857
235,115.89549
236,93.72632
238,112.45056
242,104.66042
243,93.60153
244,78.78537
245,111.70978
247,112.48778
248,93.519844
249,93.851585
250,112.45297
251,93.72632
253,115.89549
254,93.91798
256,93.91927
257,93.12736
258,112.44611
259,93.65221
262,79.517265
266,93.48966
267,112.484726
272,103.56335
273,112.674
275,93.70344
276,112.74387
279,94.5131
280,104.65244
283,93.86618
285,112.471794
288,112.674
289,99.15894
290,104.52233
291,94.443184
292,112.319
293,112.28741
296,93.4479
297,112.43319
298,115.68894
299,94.4835
304,93.60626
305,79.95176
306,93.90916
307,112.262886
311,109.099915
313,112.262886
314,93.67856
316,94.491066
324,94.04162
327,96.033104
329,93.54603
330,112.35162
337,104.51191
338,94.72086
339,104.567245
340,94.61641
343,93.596756
345,115.84671
346,93.83203
347,112.484726
349,111.85385
350,93.78028
352,112.46236
353,93.58364
354,78.655754
357,93.61952
358,112.51246
362,112.39079
364,115.693794
365,103.84244
366,94.45512
367,112.59731
368,94.31218
370,78.28969
373,94.81124
377,93.66632
378,112.282906
382,103.12236
384,112.471794
390,93.88247
