id,y
1,78.39819
2,94.73103
3,78.40062
4,78.39942
5,112.20607
8,92.67962
10,112.691055
11,93.20068
12,112.80713
14,94.32022
15,112.806786
16,106.19587
17,94.43995
19,93.77103
20,106.46408
21,94.382195
22,112.806274
23,94.441956
26,93.605515
28,95.053085
29,94.441956
33,94.441956
35,93.07597
41,94.44389
42,93.58294
43,112.806915
45,103.52176
46,103.88331
51,93.06418
53,78.40448
55,112.77502
56,94.11424
57,103.31146
58,93.30517
59,103.729454
63,111.75719
64,94.88376
65,110.846176
69,93.65321
71,93.96898
72,104.185196
73,93.074165
76,104.0719
77,103.38053
78,112.80582
82,93.30833
83,110.846176
84,94.24156
85,103.258484
87,111.18025
88,94.44389
89,112.77845
91,94.37893
93,94.38901
94,106.213425
95,93.505684
96,112.070526
97,93.23764
98,112.76801
99,94.02697
101,102.50895
103,112.77845
104,94.064926
105,112.50965
110,94.663345
111,112.43045
113,112.776924
114,94.8488
115,112.09766
117,112.77845
120,94.1624
121,112.70044
122,94.82674
123,112.799644
126,112.76651
132,112.798035
135,108.9792
137,103.49844
138,93.46384
140,93.9919
142,110.1537
144,112.65987
148,93.423615
149,112.71329
155,94.421364
156,112.7051
157,93.23764
162,112.740486
163,93.80022
167,94.899124
172,112.806915
179,112.79983
180,95.05368
181,109.58359
182,94.02056
183,112.77845
185,112.77845
187,112.77458
188,93.217064
189,93.193756
191,94.305756
192,112.78519
193,94.86377
194,112.369415
195,94.35493
196,112.76793
198,99.462364
199,112.36437
201,105.51895
204,93.66086
205,106.34367
206,93.05554
210,94.128944
211,102.50895
216,112.6819
219,112.80705
220,94.30178
221,111.47687
226,109.58359
227,94.02661
228,112.620865
230,112.381226
231,93.23764
235,112.80643
236,93.17927
238,112.49559
242,103.646065
243,94.39841
244,78.3975
245,112.794815
247,112.28345
248,92.16886
249,93.662384
250,112.66516
251,93.17927
253,112.80643
254,94.01709
256,94.90839
257,93.233055
258,112.76785
259,94.02391
262,78.41548
266,93.39246
267,112.34623
272,103.32507
273,112.77845
275,94.94218
276,112.75517
279,94.35395
280,110.846176
283,93.729904
285,112.66379
288,112.77845
289,94.89647
290,104.95173
291,94.31999
292,112.653625
293,112.80104
296,94.996155
297,112.56691
298,112.80655
299,93.38148
304,93.1125
305,78.403336
306,93.26512
307,110.62799
311,110.62674
313,110.41806
314,94.267044
316,94.66081
324,94.751045
327,94.90117
329,93.19367
330,112.50799
337,104.338234
338,94.7007
339,102.46504
340,94.866135
343,92.17699
345,112.806946
346,94.87912
347,112.5679
349,112.62997
350,94.89496
352,112.719246
353,94.12384
354,78.40132
357,94.90739
358,112.79638
362,112.55483
364,112.80208
365,105.170555
366,94.38342
367,112.78819
368,93.73724
370,78.40233
373,93.17215
377,94.34049
378,112.80339
382,103.900665
384,112.679886
390,93.41926
392,112.76347
393,112.759445
395,94.35771
396,106.12027
399,78.40059
406,110.41806
408,110.41806
409,94.242676
410,78.400696
412,112.64675
413,93.08922
419,93.5302
420,112.794304
421,92.25844
430,94.58493
434,93.13462
436,94.02453
437,93.763016
438,93.21338
439,112.61869
440,94.34057
443,112.67968
446,93.57769
448,93.00545
452,94.90793
453,103.31076
457,104.62418
458,94.74462
459,112.801926
460,103.42727
462,103.113106
464,103.15815
465,112.807014
467,112.77577
471,112.64264
472,78.40028
473,94.77415
475,93.30661
480,94.22056
488,112.73921
490,110.62799
491,102.82005
492,78.40065
493,94.90684
497,92.23503
498,112.47255
499,93.266205
500,103.71601
501,94.79758
502,112.58067
506,78.411865
510,112.35846
511,93.23413
512,93.264694
516,93.66391
518,94.3697
519,112.36786
521,92.57458
